matric_number,full_name,has_voted,voted_at
20/0687,,False,
20/0935,,False,
20/1943,,False,
21/0297,,False,
21/0508,,False,
21/0986,,False,
22/0352,,False,
22/0393,,False,
22/0397,,False,
22/0454,,False,
22/0458,,False,
22/0474,,False,
22/0476,,False,
22/0477,,False,
22/0481,,False,
22/0484,,False,
22/0498,,False,
22/0507,,False,
22/0512,,False,
22/0529,,False,
22/0540,,False,
22/0549,,False,
22/0554,,False,
22/0680,,False,
22/0704,,False,
22/0709,,False,
22/0718,,False,
22/0725,,False,
22/0728,,False,
22/0736,,False,
22/0744,,False,
22/0751,,False,
22/0768,,False,
22/0773,,False,
22/0798,,False,
22/0813,,False,
22/0849,,False,
22/0866,,False,
22/0888,,False,
22/0906,,False,
22/0916,,False,
22/0941,,False,
22/0975,,False,
22/1006,,False,
22/1030,,False,
22/1047,,False,
22/1053,,False,
22/1068,,False,
22/1102,,False,
22/1112,,False,
22/1132,,False,
22/1136,,False,
22/1176,,False,
22/1189,,False,
22/1214,,False,
22/1269,,False,
22/1272,,False,
22/1274,,False,
22/1284,,False,
22/1294,,False,
22/1305,,False,
22/1321,,False,
22/1322,,False,
22/1332,,False,
22/1334,,False,
22/1345,,False,
22/1353,,False,
22/1386,,False,
22/1387,,False,
22/1409,,False,
22/1414,,False,
22/1421,,False,
22/1445,,False,
22/1447,,False,
22/1467,,False,
22/1492,,False,
22/1520,,False,
22/1523,,False,
22/1526,,False,
22/1530,,False,
22/1554,,False,
22/1558,,False,
22/1586,,False,
22/1590,,False,
22/1620,,False,
22/1640,,False,
22/1643,,False,
22/1645,,False,
22/1650,,False,
22/1651,,False,
22/1655,,False,
22/1663,,False,
22/1664,,False,
22/1678,,False,
22/1683,,False,
22/1707,,False,
22/1708,,False,
22/1731,,False,
22/1737,,False,
22/1746,,False,
22/1752,,False,
22/1761,,False,
22/1765,,False,
22/1803,,False,
22/1839,,False,
22/1856,,False,
22/1872,,False,
22/1876,,False,
22/1878,,False,
22/1884,,False,
22/1893,,False,
22/1904,,False,
22/1906,,False,
22/1916,,False,
22/1922,,False,
22/1926,,False,
22/1943,,False,
22/1980,,False,
22/1996,,False,
22/2008,,False,
22/2010,,False,
22/2037,,False,
22/2039,,False,
22/2042,,False,
22/2071,,False,
22/2077,,False,
22/2112,,False,
22/2115,,False,
22/2135,,False,
22/2145,,False,
22/2165,,False,
22/2235,,False,
22/2244,,False,
22/2261,,False,
22/2268,,False,
22/2272,,False,
22/2304,,False,
22/2307,,False,
22/2312,,False,
22/2314,,False,
22/2343,,False,
22/2357,,False,
22/2399,,False,
22/2400,,False,
22/2410,,False,
22/2430,,False,
22/2441,,False,
22/2456,,False,
22/2493,,False,
22/2509,,False,
22/2539,,False,
22/2562,,False,
22/2568,,False,
22/2594,,False,
22/2595,,False,
22/2615,,False,
22/2618,,False,
22/2637,,False,
22/2643,,False,
22/2647,,False,
22/2666,,False,
22/2671,,False,
22/2673,,False,
22/2679,,False,
22/2689,,False,
22/2714,,False,
22/2741,,False,
22/2750,,False,
22/2762,,False,
22/2764,,False,
22/2768,,False,
22/2771,,False,
22/2777,,False,
22/2780,,False,
22/2815,,False,
22/2821,,False,
22/2825,,False,
22/2838,,False,
22/2843,,False,
22/2937,,False,
22/2961,,False,
22/3002,,False,
22/3056,,False,
22/3091,,False,
22/3129,,False,
22/3131,,False,
22/3402,,False,
22/3611,,False,
23/0295,,False,
23/0311,,False,
23/0328,,False,
23/0355,,False,
23/0371,,False,
23/0378,,False,
23/0399,,False,
23/0401,,False,
23/0430,,False,
23/0486,,False,
23/0516,,False,
23/0560,,False,
23/0569,,False,
23/0594,,False,
23/0612,,False,
23/0619,,False,
23/0625,,False,
23/0634,,False,
23/0648,,False,
23/0649,,False,
23/0650,,False,
23/0654,,False,
23/0661,,False,
23/0703,,False,
23/0735,,False,
23/0759,,False,
23/0816,,False,
23/0825,,False,
23/0869,,False,
23/0870,,False,
23/0876,,False,
23/0877,,False,
23/0886,,False,
23/0913,,False,
23/0940,,False,
23/0978,,False,
23/0994,,False,
23/0998,,False,
23/1055,,False,
23/1060,,False,
23/1064,,False,
23/1100,,False,
23/1119,,False,
23/1139,,False,
23/1143,,False,
23/1154,,False,
23/1159,,False,
23/1177,,False,
23/1183,,False,
23/1213,,False,
23/1242,,False,
23/1254,,False,
23/1284,,False,
23/1300,,False,
23/1309,,False,
23/1326,,False,
23/1354,,False,
23/1358,,False,
23/1386,,False,
23/1405,,False,
23/1419,,False,
23/1431,,False,
23/1450,,False,
23/1476,,False,
23/1484,,False,
23/1507,,False,
23/1532,,False,
23/1535,,False,
23/1545,,False,
23/1548,,False,
23/1553,,False,
23/1573,,False,
23/1600,,False,
23/1606,,False,
23/1619,,False,
23/1637,,False,
23/1655,,False,
23/1692,,False,
23/1725,,False,
23/1731,,False,
23/1735,,False,
23/1748,,False,
23/1756,,False,
23/1784,,False,
23/1821,,False,
23/1868,,False,
23/1877,,False,
23/1886,,False,
23/1906,,False,
23/1972,,False,
23/1975,,False,
23/1976,,False,
23/1996,,False,
23/2028,,False,
23/2053,,False,
23/2079,,False,
23/2118,,False,
23/2127,,False,
23/2148,,False,
23/2177,,False,
23/2182,,False,
23/2187,,False,
23/2191,,False,
23/2195,,False,
23/2210,,False,
23/2243,,False,
23/2252,,False,
23/2384,,False,
23/2414,,False,
23/2434,,False,
23/2439,,False,
23/2467,,False,
23/2483,,False,
23/2522,,False,
23/2531,,False,
23/2543,,False,
23/2552,,False,
23/2570,,False,
23/2574,,False,
23/2591,,False,
23/2592,,False,
23/2625,,False,
23/2630,,False,
23/2662,,False,
23/2677,,False,
23/2688,,False,
23/2728,,False,
23/2758,,False,
23/2791,,False,
23/2839,,False,
23/2868,,False,
23/2904,,False,
23/2910,,False,
23/2921,,False,
23/2922,,False,
23/2929,,False,
23/2935,,False,
24/,,False,
24/0109,,False,
24/0141,,False,
24/0147,,False,
24/0187,,False,
24/0229,,False,
24/0234,,False,
24/0339,,False,
24/0349,,False,
24/0381,,False,
24/0413,,False,
24/0440,,False,
24/0446,,False,
24/0462,,False,
24/0466,,False,
24/0476,,False,
24/0581,,False,
24/0627,,False,
24/0662,,False,
24/0840,,False,
24/0866,,False,
24/0949,,False,
24/0973,,False,
24/0989,,False,
24/1004,,False,
24/1062,,False,
24/1107,,False,
24/1265,,False,
24/1281,,False,
24/1283,,False,
24/1366,,False,
24/1438,,False,
24/1591,,False,
24/1594,,False,
24/1600,,False,
24/1643,,False,
24/1650,,False,
24/1727,,False,
24/1729,,False,
24/1730,,False,
24/1731,,False,
24/1770,,False,
24/1783,,False,
24/1846,,False,
24/1859,,False,
24/1862,,False,
24/1863,,False,
24/1864,,False,
24/1875,,False,
24/1921,,False,
24/1940,,False,
24/1979,,False,
24/1984,,False,
24/1993,,False,
24/2000,,False,
24/2010,,False,
24/2020,,False,
24/2084,,False,
24/2100,,False,
24/2171,,False,
24/2249,,False,
24/2267,,False,
24/2280,,False,
24/2304,,False,
24/2335,,False,
24/2339,,False,
24/2348,,False,
24/2390,,False,
24/2410,,False,
24/2416,,False,
24/2498,,False,
24/2522,,False,
24/2576,,False,
24/2683,,False,
24/2766,,False,
24/2791,,False,
24/2957,,False,
24/O779,,False,
25/0007,,False,
25/0017,,False,
25/0039,,False,
25/0049,,False,
25/0053,,False,
25/0063,,False,
25/0082,,False,
25/0085,,False,
25/0128,,False,
25/0145,,False,
25/0151,,False,
25/0187,,False,
25/0191,,False,
25/0231,,False,
25/0240,,False,
25/0254,,False,
25/0262,,False,
25/0268,,False,
25/0300,,False,
25/0323,,False,
25/0326,,False,
25/0334,,False,
25/0338,,False,
25/0346,,False,
25/0347,,False,
25/0371,,False,
25/0387,,False,
25/0428,,False,
25/0432,,False,
25/0482,,False,
25/0484,,False,
25/0496,,False,
25/0530,,False,
25/0547,,False,
25/0552,,False,
25/0554,,False,
25/0579,,False,
25/0590,,False,
25/0593,,False,
25/0626,,False,
25/0643,,False,
25/0663,,False,
25/0665,,False,
25/0671,,False,
25/0678,,False,
25/0681,,False,
25/0700,,False,
25/0716,,False,
25/0762,,False,
25/0796,,False,
25/0808,,False,
25/0830,,False,
25/0835,,False,
25/0842,,False,
25/0877,,False,
25/0881,,False,
25/0901,,False,
25/0925,,False,
25/0938,,False,
25/0953,,False,
25/0971,,False,
25/0982,,False,
25/1000,,False,
25/1063,,False,
25/1072,,False,
25/1073,,False,
25/1105,,False,
25/1128,,False,
25/1142,,False,
25/1163,,False,
25/1203,,False,
25/1211,,False,
25/1224,,False,
25/1227,,False,
25/1245,,False,
25/1265,,False,
25/1289,,False,
25/1297,,False,
25/1321,,False,
25/1326,,False,
25/1355,,False,
25/1359,,False,
25/1364,,False,
25/1396,,False,
25/1401,,False,
25/1423,,False,
25/1430,,False,
25/1433,,False,
25/1454,,False,
25/1456,,False,
25/1473,,False,
25/1505,,False,
25/1515,,False,
25/1531,,False,
25/1554,,False,
25/1563,,False,
25/1581,,False,
25/1596,,False,
25/1605,,False,
25/1666,,False,
25/1682,,False,
25/1764,,False,
25/1779,,False,
25/1782,,False,
25/1786,,False,
25/1798,,False,
25/1840,,False,
25/1877,,False,
25/2029,,False,
25/2049,,False,
25/2109,,False,
25/2115,,False,
25/2131,,False,
25/2164,,False,
25/2178,,False,
25/2226,,False,
25/2268,,False,
25/2376,,False,
25/2537,,False,
25/2571,,False,
25/2583,,False,
25/2590,,False,
25/2612,,False,
25/2690,,False,
25/2796,,False,
25/2979,,False,
25/3064,,False,
25/931,,False,
